ID,Time,Longitude,Latitude,Occupancy,Distance
22224,01:02:11,114.104965,22.549334,0,18
22224,01:13:03,114.105049,22.550833,0,27
22224,22:32:30,114.105247,22.547934,1,44
22224,22:32:45,114.105797,22.547068,1,19
22224,13:30:18,114.1138,22.551283,1,23
22224,21:58:20,114.11412,22.601316,1,23
22224,13:28:18,114.115402,22.554016,1,0
22224,13:26:48,114.1157,22.556683,1,29
22224,00:55:02,114.119232,22.554466,0,70
22224,13:19:17,114.119965,22.573767,0,11
22224,00:38:26,114.122284,22.578783,1,3
22224,00:42:17,114.122368,22.580282,0,33
22224,23:02:43,114.125381,22.547768,1,1
22224,23:06:28,114.131699,22.5616,1,0
22224,23:13:13,114.138069,22.573017,1,2
22224,23:17:13,114.138969,22.574717,1,14
22224,23:30:27,114.183014,22.656733,1,96
22224,23:34:27,114.215149,22.681101,1,78
22224,23:44:48,114.339546,22.729733,1,89
22224,23:46:20,114.354553,22.743,1,93
22224,23:46:35,114.35717,22.745434,1,88
22224,23:47:50,114.370903,22.754566,1,80
22224,18:57:37,113.821716,22.648367,1,11
22224,18:09:47,113.786919,22.679449,0,2
22224,17:47:30,113.786934,22.678682,0,3
22224,17:44:32,113.78817,22.679466,1,0
22224,18:29:16,113.788216,22.677549,1,35
22224,18:29:33,113.78907,22.677834,1,30
22224,17:42:46,113.790665,22.678101,1,71
22224,18:30:31,113.794479,22.677999,1,21
22224,17:42:17,113.795082,22.678133,1,48
22224,18:31:03,113.795868,22.677917,1,23
22224,17:41:31,113.796883,22.677467,1,0
22224,17:37:15,113.797218,22.675484,1,1
22224,17:36:15,113.797302,22.675318,1,9
22224,17:35:56,113.797546,22.674784,1,22
22224,18:33:48,113.798965,22.6726,1,4
22224,18:34:02,113.799065,22.672567,1,1
22224,18:35:33,113.80098,22.670816,1,21
22224,19:19:36,113.806602,22.6236,1,28
22224,17:32:58,113.806648,22.666283,1,3
22224,17:31:10,113.810532,22.661533,1,55
22224,18:44:30,113.811813,22.658867,1,18
22224,18:47:29,113.812386,22.657949,1,0
22224,18:46:42,113.812386,22.657967,1,0
22224,17:29:53,113.81295,22.657333,1,3
22224,19:21:06,113.814583,22.610518,1,60
22224,17:29:11,113.81588,22.653967,1,37
22224,19:03:50,113.817047,22.648582,0,31
22224,18:59:35,113.818848,22.649717,1,6
22224,17:27:23,113.819336,22.64995,1,15
22224,18:59:05,113.819366,22.649883,1,6
22224,17:27:09,113.819504,22.6497,1,9
22224,10:21:27,113.901871,22.558901,0,36
22224,18:26:48,113.785835,22.677933,1,45
22224,18:26:32,113.786766,22.678017,1,11
22224,18:24:34,113.786781,22.679501,0,1
22224,17:48:45,113.786819,22.679068,0,20
22224,17:45:59,113.786835,22.678133,1,0
22224,17:45:45,113.78685,22.678118,1,1
22224,17:48:02,113.786865,22.678682,0,0
22224,17:44:56,113.788033,22.679283,1,24
22224,17:43:32,113.788147,22.6791,1,11
22224,17:44:17,113.78817,22.679434,1,0
22224,18:30:01,113.791817,22.677868,1,45
22224,18:31:16,113.796432,22.677917,1,8
22224,17:39:44,113.796921,22.677467,1,0
22224,18:31:45,113.796951,22.675617,1,53
22224,17:40:45,113.796951,22.677467,1,0
22224,17:38:14,113.79715,22.67555,1,16
22224,17:36:44,113.797264,22.675467,1,0
22224,17:35:16,113.799667,22.672268,1,34
22224,17:34:32,113.801651,22.670549,1,2
22224,17:34:14,113.801666,22.670549,1,0
22224,17:33:47,113.802048,22.66995,1,44
22224,18:39:30,113.803818,22.667999,1,11
22224,17:33:29,113.803902,22.6682,1,72
22224,18:41:23,113.804535,22.667418,1,0
22224,18:46:57,113.812386,22.657967,1,0
22224,18:46:13,113.812401,22.657967,1,0
22224,17:30:10,113.812965,22.657316,1,0
22224,18:49:04,113.814034,22.658649,1,12
22224,18:49:35,113.814636,22.659,1,8
22224,17:29:23,113.814751,22.655251,1,56
22224,17:28:11,113.81665,22.653099,1,0
22224,17:27:55,113.817116,22.652599,1,41
22224,19:00:21,113.818214,22.649433,1,10
22224,18:58:52,113.81958,22.649633,1,11
22224,17:26:40,113.819946,22.648933,1,12
22224,18:56:06,113.822197,22.648518,1,2
22224,18:54:07,113.822914,22.64875,1,27
22224,18:53:05,113.823936,22.652149,1,32
22224,19:05:50,113.829269,22.646133,0,55
22224,17:20:40,113.832001,22.650717,1,3
22224,17:20:55,113.832016,22.650717,1,2
22224,17:22:26,113.832169,22.650717,1,4
22224,17:17:24,113.833397,22.649,1,0
22224,19:08:20,113.842232,22.631332,0,35
22224,19:09:16,113.844048,22.628384,0,35
22224,07:05:27,113.886986,22.547434,0,1
22224,07:04:27,113.887032,22.547483,0,0
22224,09:20:27,113.887047,22.547466,0,0
22224,08:45:27,113.88707,22.547466,0,0
22224,08:00:27,113.88707,22.547483,0,0
22224,10:14:57,113.887115,22.547518,0,0
22224,06:58:56,113.888016,22.548332,1,18
22224,17:09:55,113.892181,22.659317,1,92
22224,19:31:06,113.90567,22.586384,1,77
22224,17:07:49,113.907471,22.63895,1,93
22224,17:07:17,113.909737,22.632517,1,101
22224,17:06:34,113.916748,22.62355,1,100
22224,15:01:03,113.918587,22.526434,1,0
22224,14:58:04,113.918671,22.520416,1,33
22224,15:04:19,113.919334,22.530317,1,0
22224,15:04:49,113.91938,22.530268,1,0
22224,15:06:19,113.920151,22.534983,1,32
22224,14:53:33,113.924416,22.526033,1,61
22224,17:04:47,113.927551,22.603251,1,45
22224,15:15:28,113.928467,22.549101,1,26
22224,15:17:58,113.94075,22.5427,1,54
22224,15:29:23,113.943253,22.526182,1,2
22224,15:28:08,113.945183,22.527218,1,31
22224,15:31:33,113.947266,22.53005,0,30
22224,15:48:55,113.982918,22.586018,1,12
22224,15:52:10,113.985603,22.586433,1,3
22224,15:52:25,113.985718,22.586433,1,0
22224,20:22:08,113.999313,22.642099,1,23
22224,10:46:52,113.999947,22.555733,1,62
22224,06:46:26,114.00193,22.555817,1,79
22224,16:53:17,114.007065,22.590651,1,42
22224,16:50:17,114.009804,22.605749,1,62
22224,16:52:32,114.010147,22.594168,1,35
22224,21:11:00,114.011902,22.54435,1,19
22224,21:10:15,114.01355,22.54365,1,44
22224,21:15:07,114.014282,22.549116,0,61
22224,21:15:15,114.014915,22.548201,0,52
22224,14:41:18,114.016716,22.532801,1,2
22224,14:40:48,114.016853,22.532682,1,3
22224,14:39:48,114.016983,22.532633,1,1
22224,00:24:05,114.020767,22.55545,0,62
22224,20:35:50,114.021233,22.65745,0,24
22224,20:34:05,114.02153,22.658251,0,7
22224,20:33:05,114.021553,22.657967,0,2
22224,20:46:21,114.021568,22.639233,1,3
22224,21:18:16,114.021881,22.544916,1,86
22224,14:30:32,114.023453,22.525417,0,12
